iter	RMSE
0	75253.76895
1	73240.07147
2	71446.74518
3	69539.85117
4	67821.14101
5	66259.27166
6	64739.81845
7	63016.32691
8	61626.84036
9	60110.05126
10	58729.31572
11	57297.98141
12	55977.91297
13	54803.20508
14	53536.01702
15	52522.70812
16	51451.36227
17	50379.65935
18	49347.74045
19	48463.01714
20	47582.50455
21	46641.8986
22	45827.65014
23	44992.81846
24	44197.1681
25	43380.01515
26	42577.69484
27	41937.45543
28	41276.41337
29	40574.01009
30	39932.28236
31	39355.40456
32	38778.86711
33	38260.56794
34	37696.37605
35	37133.90078
36	36559.74698
37	36093.80302
38	35575.63039
39	35134.32696
40	34688.22436
41	34247.00046
42	33849.17904
43	33408.46657
44	33072.251
45	32663.80785
46	32334.26834
47	31958.56595
48	31599.69153
49	31264.24206
50	30904.22446
51	30593.22259
52	30318.33467
53	30017.92993
54	29744.58139
55	29457.85255
56	29173.23019
57	28881.50578
58	28624.95167
59	28343.06367
60	28141.44891
61	27933.81988
62	27787.84834
63	27575.58877
64	27348.92493
65	27114.47835
66	26873.97718
67	26709.74307
68	26544.74261
69	26372.54812
70	26179.57606
71	26000.499
72	25772.17604
73	25568.76749
74	25420.42484
75	25228.76017
76	25098.52597
77	24991.17141
78	24855.43856
79	24714.13167
80	24601.57933
81	24438.0857
82	24278.51402
83	24118.08233
84	24005.18367
85	23845.67645
86	23716.85557
87	23595.26098
88	23462.32346
89	23277.45483
90	23168.54342
91	23023.42158
92	22907.85494
93	22786.64856
94	22638.17406
95	22542.27917
96	22396.72854
97	22277.18609
98	22185.33761
99	22058.44991
100	21947.37541
101	21848.26097
102	21748.71313
103	21651.94729
104	21561.79027
105	21483.93589
106	21402.48921
107	21325.05001
108	21261.89849
109	21150.87628
110	21051.4984
111	20959.26736
112	20878.55857
113	20811.90944
114	20728.61687
115	20678.11622
116	20621.34526
117	20521.08316
118	20483.41459
119	20430.30398
120	20384.25272
121	20372.31296
122	20310.8267
123	20225.59553
124	20180.90521
125	20135.28217
126	20076.13219
127	19984.45415
