iter	Passed	Remaining
0	144	54066
1	153	28496
2	162	20124
3	171	15866
4	180	13355
5	188	11545
6	197	10372
7	205	9385
8	214	8687
9	222	8096
10	231	7638
11	238	7201
12	247	6873
13	255	6562
14	263	6305
15	270	6055
16	279	5870
17	287	5676
18	295	5527
19	303	5366
20	312	5246
21	319	5119
22	328	5017
23	337	4915
24	345	4829
25	356	4764
26	363	4673
27	371	4595
28	379	4517
29	388	4454
30	396	4385
31	404	4323
32	412	4263
33	420	4203
34	427	4145
35	437	4103
36	445	4054
37	453	4007
38	460	3957
39	469	3919
40	477	3874
41	485	3835
42	493	3799
43	502	3770
44	510	3732
45	518	3698
46	527	3667
47	535	3635
48	544	3608
49	552	3577
50	562	3563
51	570	3531
52	579	3511
53	587	3479
54	595	3454
55	603	3425
56	611	3403
57	618	3372
58	627	3352
59	635	3325
60	643	3303
61	651	3276
62	659	3255
63	668	3235
64	676	3214
65	683	3191
66	692	3172
67	700	3151
68	708	3132
69	716	3112
70	753	3214
71	773	3244
72	788	3249
73	799	3242
74	808	3223
75	817	3205
76	825	3185
77	835	3169
78	842	3147
79	851	3129
80	859	3108
81	868	3091
82	875	3071
83	884	3053
84	891	3032
85	900	3016
86	907	2994
87	916	2977
88	923	2958
89	932	2941
90	939	2921
91	947	2905
92	954	2885
93	963	2869
94	970	2849
95	979	2837
96	987	2819
97	995	2804
98	1003	2786
99	1013	2775
100	1020	2758
101	1028	2742
102	1035	2725
103	1043	2710
104	1051	2693
105	1060	2680
106	1070	2670
107	1079	2657
108	1088	2645
109	1096	2632
110	1107	2623
111	1116	2612
112	1125	2600
113	1135	2590
114	1143	2575
115	1152	2563
116	1159	2547
117	1168	2535
118	1176	2520
119	1185	2509
120	1193	2495
121	1203	2485
122	1214	2478
123	1222	2464
124	1231	2454
125	1239	2439
126	1248	2427
127	1255	2412
128	1264	2401
129	1271	2386
130	1280	2374
131	1287	2360
132	1296	2348
133	1303	2335
134	1312	2322
135	1319	2309
136	1329	2299
137	1336	2286
138	1345	2274
139	1353	2261
140	1360	2248
141	1368	2236
142	1377	2224
143	1385	2212
144	1393	2200
145	1400	2187
146	1409	2176
147	1416	2163
148	1425	2153
149	1433	2141
150	1443	2131
151	1450	2118
152	1458	2107
153	1466	2094
154	1474	2083
155	1482	2071
156	1490	2060
157	1498	2048
158	1506	2036
159	1514	2025
160	1522	2014
161	1530	2003
162	1538	1991
163	1546	1980
164	1554	1968
165	1562	1958
166	1570	1946
167	1574	1930
168	1582	1919
169	1586	1903
170	1593	1891
171	1601	1880
172	1609	1869
173	1616	1858
174	1624	1847
175	1631	1835
176	1640	1825
177	1647	1814
178	1677	1826
179	1703	1836
180	1730	1844
181	1744	1840
182	1753	1829
183	1780	1838
184	1795	1834
185	1801	1821
186	1815	1815
187	1822	1803
188	1830	1791
189	1838	1780
190	1846	1769
191	1854	1757
192	1862	1746
193	1869	1734
194	1877	1723
195	1884	1711
196	1893	1701
197	1901	1690
198	1909	1678
199	1916	1667
200	1925	1656
201	1932	1645
202	1941	1635
203	1948	1624
204	1956	1613
205	1963	1601
206	1972	1591
207	1979	1579
208	1987	1569
209	1995	1558
210	2004	1548
211	2011	1537
212	2020	1527
213	2028	1516
214	2036	1505
215	2043	1494
216	2051	1484
217	2059	1473
218	2067	1463
219	2074	1452
220	2083	1442
221	2091	1432
222	2100	1422
223	2108	1411
224	2116	1401
225	2124	1391
226	2132	1380
227	2139	1370
228	2147	1360
229	2155	1349
230	2163	1339
231	2171	1328
232	2179	1319
233	2187	1308
234	2195	1298
235	2203	1288
236	2211	1278
237	2219	1268
238	2226	1257
239	2234	1247
240	2242	1237
241	2249	1226
242	2257	1217
243	2265	1207
244	2274	1197
245	2281	1187
246	2290	1177
247	2297	1167
248	2305	1157
249	2309	1145
250	2317	1135
251	2325	1125
252	2333	1115
253	2341	1106
254	2350	1097
255	2358	1087
256	2367	1077
257	2374	1067
258	2383	1058
259	2390	1048
260	2399	1038
261	2406	1028
262	2415	1019
263	2423	1009
264	2432	1000
265	2439	990
266	2448	981
267	2455	971
268	2464	961
269	2471	952
270	2480	942
271	2487	932
272	2496	923
273	2503	913
274	2512	904
275	2519	894
276	2528	885
277	2535	875
278	2544	866
279	2551	856
280	2560	847
281	2567	837
282	2576	828
283	2584	818
284	2593	809
285	2600	800
286	2609	790
287	2617	781
288	2625	772
289	2633	762
290	2642	753
291	2649	744
292	2657	734
293	2666	725
294	2674	716
295	2681	706
296	2690	697
297	2698	688
298	2706	678
299	2714	669
300	2723	660
301	2731	651
302	2739	641
303	2746	632
304	2754	623
305	2761	613
306	2769	604
307	2777	595
308	2786	586
309	2794	576
310	2802	567
311	2809	558
312	2817	549
313	2825	539
314	2833	530
315	2840	521
316	2849	512
317	2857	503
318	2865	494
319	2873	484
320	2881	475
321	2889	466
322	2897	457
323	2904	448
324	2913	439
325	2941	433
326	2967	426
327	2994	419
328	3021	413
329	3037	404
330	3049	396
331	3060	387
332	3069	377
333	3078	368
334	3085	359
335	3093	349
336	3101	340
337	3109	331
338	3116	321
339	3124	312
340	3131	303
341	3140	293
342	3147	284
343	3156	275
344	3164	265
345	3172	256
346	3180	247
347	3189	238
348	3196	228
349	3204	219
350	3211	210
351	3220	201
352	3227	192
353	3236	182
354	3243	173
355	3252	164
356	3260	155
357	3268	146
358	3276	136
359	3285	127
360	3293	118
361	3301	109
362	3309	100
363	3318	91
364	3325	82
365	3335	72
366	3343	63
367	3352	54
368	3361	45
369	3369	36
370	3378	27
371	3386	18
372	3395	9
373	3404	0
