iter	RMSE
0	76704.73027
1	74151.66445
2	71755.26603
3	69535.37969
4	67392.97807
5	65400.34459
6	63386.74408
7	61654.05172
8	59719.44293
9	58066.72253
10	56573.57103
11	54968.59455
12	53690.2118
13	52313.2604
14	50837.06813
15	49590.99073
16	48385.26267
17	47150.61883
18	46065.59927
19	44954.09021
20	43871.21826
21	42852.95833
22	41876.02464
23	40939.58445
24	40242.9271
25	39331.75361
26	38448.61517
27	37643.2282
28	36870.52533
29	36079.72506
30	35460.92613
31	34860.39586
32	34313.21995
33	33740.71791
34	33100.53872
35	32605.76839
36	32069.04668
37	31586.92779
38	31064.71998
39	30663.35973
40	30206.26535
41	29776.80349
42	29344.31334
43	28973.52411
44	28653.47142
45	28293.47171
46	27937.36138
47	27604.42295
48	27270.71582
49	26903.1617
50	26563.27248
51	26224.31763
52	25943.12517
53	25669.95965
54	25442.84729
55	25222.3361
56	25005.9192
57	24731.92291
58	24486.90512
59	24301.26186
60	24073.89562
61	23888.8511
62	23705.82827
63	23507.82544
64	23341.83645
65	23162.8111
66	22975.1557
67	22818.75094
68	22691.1295
69	22513.14622
70	22366.76489
71	22228.17903
72	22066.98814
73	21900.52301
74	21711.46132
75	21614.74159
76	21488.96984
77	21369.97276
78	21242.90975
79	21122.24397
80	21007.26476
81	20914.94407
82	20789.50916
83	20649.71868
84	20561.26559
85	20477.56639
86	20370.56212
87	20255.33079
88	20157.94289
89	20064.64636
90	19926.25118
91	19825.24556
92	19707.07352
93	19635.12445
94	19537.29139
95	19427.02933
96	19321.32912
97	19252.37078
98	19135.81268
99	19055.71443
100	18984.81122
101	18909.98134
102	18849.68488
103	18791.92922
104	18734.3101
105	18665.71365
106	18586.55776
107	18538.46498
108	18488.54247
109	18418.07051
110	18349.77149
111	18255.28329
112	18214.50109
113	18133.95476
114	18069.02762
115	18014.89729
116	17948.68539
117	17860.43423
118	17804.9828
119	17757.18561
120	17690.69258
121	17636.4891
122	17563.43341
123	17498.9997
124	17449.24162
125	17407.95386
126	17340.90457
127	17288.07615
128	17250.44304
129	17192.85214
130	17125.12678
131	17097.90835
132	17053.99926
133	17010.82703
134	16964.12589
135	16917.50367
136	16886.56593
137	16849.41152
138	16784.22883
139	16735.68796
140	16701.98271
141	16657.00405
142	16626.32284
143	16564.39995
144	16523.18567
145	16486.77978
146	16450.83204
147	16406.64343
148	16370.01219
149	16335.62201
150	16278.64102
151	16235.02489
152	16191.97484
153	16141.13964
154	16083.43333
155	16051.9927
156	16020.05505
157	15991.62586
158	15964.94693
159	15918.75571
160	15886.88668
161	15842.48419
162	15815.74264
163	15792.56431
164	15732.05743
165	15690.97437
166	15639.59579
167	15614.53402
168	15569.21728
169	15522.86158
170	15476.32925
171	15451.72071
172	15422.53761
173	15397.20756
174	15365.31669
175	15317.76502
176	15275.67441
177	15251.68502
178	15217.15886
179	15188.20869
180	15166.70841
181	15128.17438
182	15070.39947
183	15017.95379
184	14976.52391
185	14929.05734
186	14886.2341
187	14841.82315
188	14808.04393
189	14776.59609
190	14721.39544
191	14668.58754
192	14634.82505
193	14594.34929
194	14572.35779
195	14548.25657
196	14520.55792
197	14483.04863
198	14459.87341
199	14414.22206
200	14380.97788
201	14353.44298
202	14328.32131
203	14302.44589
204	14264.78477
205	14246.15844
206	14208.14295
207	14182.49157
208	14158.39807
209	14128.41866
210	14094.87689
211	14054.63687
212	14027.09438
213	13996.1522
214	13977.90414
215	13931.47697
216	13896.20563
217	13871.13003
218	13844.66185
219	13814.91426
220	13769.57137
221	13733.39855
222	13694.46544
223	13668.73612
224	13642.82495
225	13598.76899
226	13567.18557
227	13544.06043
228	13530.61601
229	13494.16247
230	13457.98119
231	13432.66687
232	13407.40492
233	13373.93798
234	13326.95311
235	13286.58201
236	13262.74923
237	13224.40145
238	13193.2744
239	13157.80107
240	13128.47572
241	13093.0827
242	13081.78632
243	13052.49244
244	13043.2878
245	13020.15541
246	13011.28046
247	12966.84739
248	12939.72018
249	12915.39493
250	12890.39814
