iter	Passed	Remaining
0	10	10455
1	17	8543
2	22	7527
3	27	6822
4	31	6328
5	36	5970
6	40	5696
7	44	5475
8	48	5363
9	53	5289
10	57	5190
11	62	5123
12	66	5033
13	70	4955
14	74	4897
15	78	4840
16	82	4780
17	86	4739
18	91	4711
19	95	4672
20	99	4643
21	103	4622
22	108	4629
23	113	4597
24	117	4576
25	121	4558
26	125	4530
27	129	4503
28	133	4481
29	138	4481
30	142	4464
31	146	4441
32	151	4444
33	156	4438
34	160	4438
35	165	4421
36	169	4404
37	173	4383
38	177	4365
39	181	4347
40	185	4348
41	190	4336
42	194	4319
43	197	4301
44	202	4305
45	207	4293
46	211	4281
47	215	4275
48	219	4260
49	223	4251
50	228	4242
51	232	4231
52	236	4218
53	240	4211
54	244	4202
55	248	4195
56	253	4194
57	257	4186
58	261	4175
59	266	4171
60	270	4167
61	274	4156
62	278	4148
63	283	4142
64	287	4135
65	291	4126
66	296	4122
67	300	4122
68	304	4112
69	308	4101
70	312	4094
71	317	4087
72	321	4079
73	325	4070
74	329	4065
75	333	4058
76	337	4051
77	342	4045
78	347	4045
79	351	4037
80	355	4031
81	359	4023
82	363	4017
83	369	4025
84	373	4019
85	377	4013
86	382	4011
87	386	4001
88	390	3996
89	394	3992
90	399	3987
91	403	3980
92	407	3977
93	411	3970
94	416	3964
95	420	3956
96	425	3959
97	429	3954
98	433	3944
99	437	3937
100	441	3932
101	446	3929
102	450	3922
103	454	3916
104	459	3913
105	464	3913
106	468	3906
107	472	3899
108	476	3895
109	480	3887
110	484	3881
111	488	3876
112	493	3874
113	497	3867
114	501	3860
115	506	3856
116	510	3851
117	514	3845
118	518	3839
119	522	3834
120	526	3828
121	531	3822
122	535	3815
123	540	3815
124	544	3810
125	548	3806
126	552	3800
127	557	3797
128	561	3792
129	565	3787
130	570	3783
131	575	3781
132	579	3776
133	583	3769
134	587	3766
135	591	3759
136	595	3753
137	599	3745
138	604	3742
139	608	3735
140	612	3729
141	616	3725
142	620	3720
143	624	3714
144	628	3707
145	633	3703
146	637	3700
147	641	3693
148	645	3688
149	650	3683
150	654	3682
151	659	3677
152	663	3672
153	667	3668
154	672	3665
155	676	3659
156	680	3653
157	685	3650
158	689	3645
159	693	3639
160	697	3634
161	702	3632
162	706	3626
163	710	3620
164	714	3618
165	719	3614
166	723	3609
167	727	3604
168	732	3600
169	736	3596
170	740	3591
171	744	3586
172	749	3582
173	753	3576
174	757	3569
175	761	3565
176	766	3562
177	770	3557
178	774	3552
179	778	3547
180	783	3543
181	787	3539
182	791	3534
183	796	3531
184	800	3525
185	804	3520
186	808	3515
187	813	3511
188	816	3505
189	820	3499
190	825	3496
191	830	3494
192	834	3489
193	838	3484
194	842	3479
195	847	3474
196	850	3468
197	855	3465
198	863	3474
199	867	3470
200	871	3466
201	876	3463
202	880	3457
203	884	3452
204	889	3448
205	893	3444
206	897	3439
207	902	3434
208	906	3430
209	910	3426
210	914	3420
211	918	3414
212	922	3410
213	927	3406
214	931	3402
215	935	3397
216	940	3392
217	944	3387
218	948	3382
219	952	3377
220	956	3373
